"","FIPS","State","County","FFRPTH11","FFRPTH16","FFRPTH12","FFRPTH13","FFRPTH14","FFRPTH15"
"2782",49009,"UT","Daggett",0,0,NA,NA,NA,0
"2783",49011,"UT","Davis",0.634820888,0.697274477,NA,NA,NA,0.697274477
"2784",49013,"UT","Duchesne",0.641539695,0.63992124,NA,NA,NA,0.63992124
"2785",49015,"UT","Emery",0.637290605,0.684797496,NA,NA,NA,0.684797496
"2786",49017,"UT","Garfield",1.553699748,1.6,NA,NA,NA,1.6
"2787",49019,"UT","Grand",1.506024096,1.242750621,NA,NA,NA,1.242750621
"2788",49021,"UT","Iron",0.836550837,0.763113503,NA,NA,NA,0.763113503
"2789",49023,"UT","Juab",0.872854233,0.908843043,NA,NA,NA,0.908843043
"2790",49025,"UT","Kane",0.685588921,0.955500956,NA,NA,NA,0.955500956
"2791",49027,"UT","Millard",1.035279127,0.946222993,NA,NA,NA,0.946222993
"2792",49029,"UT","Morgan",0.207210941,0.263782643,NA,NA,NA,0.263782643
"2793",49031,"UT","Piute",0.667111408,0,NA,NA,NA,0
"2794",49033,"UT","Rich",2.614379085,3.469210755,NA,NA,NA,3.469210755
"2795",49035,"UT","Salt Lake",0.809872624,0.879274536,NA,NA,NA,0.879274536
"2796",49037,"UT","San Juan",0.26959628,0.391414965,NA,NA,NA,0.391414965
"2797",49039,"UT","Sanpete",0.535637766,0.51189298,NA,NA,NA,0.51189298
"2798",49041,"UT","Sevier",0.718735026,0.803896534,NA,NA,NA,0.803896534
"2799",49043,"UT","Summit",1.041722314,1.039861352,NA,NA,NA,1.039861352
"2800",49045,"UT","Tooele",0.388618546,0.417963126,NA,NA,NA,0.417963126
"2801",49047,"UT","Uintah",0.541418517,0.44206222,NA,NA,NA,0.44206222
"2802",49049,"UT","Utah",0.66307501,0.682501376,NA,NA,NA,0.682501376
"2803",49051,"UT","Wasatch",0.654852044,0.752346996,NA,NA,NA,0.752346996
"2804",49053,"UT","Washington",0.806931114,0.784993437,NA,NA,NA,0.784993437
"2805",49055,"UT","Wayne",1.458257382,1.489757914,NA,NA,NA,1.489757914
"2806",49057,"UT","Weber",0.66270469,0.622677595,NA,NA,NA,0.622677595
"2807",50001,"VT","Addison",0.434239809,0.434263381,NA,NA,NA,0.434263381
"2808",50003,"VT","Bennington",0.597891075,0.753054053,NA,NA,NA,0.753054053
"2809",50005,"VT","Caledonia",0.418060201,0.59667849,NA,NA,NA,0.59667849
"2810",50007,"VT","Chittenden",0.672512023,0.68102178,NA,NA,NA,0.68102178
"2811",50009,"VT","Essex",0.158152776,0.320512821,NA,NA,NA,0.320512821
"2812",50011,"VT","Franklin",0.394297217,0.449217952,NA,NA,NA,0.449217952
"2813",50013,"VT","Grand Isle",0.43047783,0.144237704,NA,NA,NA,0.144237704
"2814",50015,"VT","Lamoille",0.648455864,0.870459761,NA,NA,NA,0.870459761
"2815",50017,"VT","Orange",0.24132106,0.345817339,NA,NA,NA,0.345817339
"2816",50019,"VT","Orleans",0.404813602,0.485963142,NA,NA,NA,0.485963142
"2817",50021,"VT","Rutland",0.719001242,0.760494829,NA,NA,NA,0.760494829
"2818",50023,"VT","Washington",0.45333199,0.668208687,NA,NA,NA,0.668208687
"2819",50025,"VT","Windham",0.904936428,0.927063295,NA,NA,NA,0.927063295
"2820",50027,"VT","Windsor",0.512693586,0.543537341,NA,NA,NA,0.543537341
"2821",51001,"VA","Accomack",0.57191018,0.548479493,NA,NA,NA,0.548479493
"2822",51003,"VA","Albemarle",0.54857918,0.545015458,NA,NA,NA,0.545015458
"2823",51005,"VA","Alleghany",0.495110781,0.650533437,NA,NA,NA,0.650533437
"2824",51007,"VA","Amelia",0.392095358,0.467653936,NA,NA,NA,0.467653936
"2825",51009,"VA","Amherst",0.56057303,0.599993684,NA,NA,NA,0.599993684
"2826",51011,"VA","Appomattox",0.397245763,0.580457917,NA,NA,NA,0.580457917
"2827",51013,"VA","Arlington",1.053458393,0.980095851,NA,NA,NA,0.980095851
"2828",51015,"VA","Augusta",0.407381757,0.374461711,NA,NA,NA,0.374461711
"2829",51017,"VA","Bath",0.214822771,0.226603218,NA,NA,NA,0.226603218
"2830",51019,"VA","Bedford",0.251455797,0.192732693,NA,NA,NA,0.192732693
"2831",51021,"VA","Bland",0.295159386,0.308880309,NA,NA,NA,0.308880309
"2832",51023,"VA","Botetourt",0.515182738,0.60331825,NA,NA,NA,0.60331825
"2833",51025,"VA","Brunswick",0.291868542,0.184331797,NA,NA,NA,0.184331797
"2834",51027,"VA","Buchanan",0.37786548,0.407202968,NA,NA,NA,0.407202968
"2835",51029,"VA","Buckingham",0.058099,0.117233294,NA,NA,NA,0.117233294
"2836",51031,"VA","Campbell",0.474530489,0.670532802,NA,NA,NA,0.670532802
"2837",51033,"VA","Caroline",0.31384036,0.332546307,NA,NA,NA,0.332546307
"2838",51035,"VA","Carroll",0.332314236,0.404054009,NA,NA,NA,0.404054009
"2839",51036,"VA","Charles City",0,0,NA,NA,NA,0
"2840",51037,"VA","Charlotte",0.080064051,0.247320692,NA,NA,NA,0.247320692
"2841",51041,"VA","Chesterfield",0.642902173,0.68473946,NA,NA,NA,0.68473946
