"","LACCESS_POP15","PCT_LACCESS_POP15","LACCESS_LOWI15","PCT_LACCESS_LOWI15","LACCESS_HHNV15","PCT_LACCESS_HHNV15","LACCESS_SNAP15","PCT_LACCESS_SNAP15","LACCESS_CHILD15","PCT_LACCESS_CHILD15","LACCESS_SENIORS15","PCT_LACCESS_SENIORS15","LACCESS_WHITE15","PCT_LACCESS_WHITE15","LACCESS_BLACK15","PCT_LACCESS_BLACK15","LACCESS_HISP15","PCT_LACCESS_HISP15","LACCESS_NHASIAN15","PCT_LACCESS_NHASIAN15","LACCESS_NHNA15","PCT_LACCESS_NHNA15","LACCESS_MULTIR15","PCT_LACCESS_MULTIR15","PCT_FREE_LUNCH15","PCT_REDUCED_LUNCH15","FOODINSEC_15_17","VLFOODSEC_15_17","POVRATE15","CHILDPOVRATE15"
"LACCESS_NHNA15",0.281646464603056,0.0886055042903682,0.321639824446646,0.133823509595564,0.269622112341978,0.135243221136679,0.287294846859515,0.18737710416849,0.289306524798628,0.13843400946925,0.254664466081346,0.00105354824682026,0.249438683537277,-0.021086627921636,0.153422924675956,-0.0106632039095695,0.267955689219529,0.0531979782835067,0.188863175418409,0.0786804082879752,1,0.456076386986492,0.315456244076089,0.122002929132765,0.087061788563917,-0.0665913461016619,-0.0714853102084745,-0.0802393871327905,0.0682699591475911,0.0324925528836224
"PCT_LACCESS_NHNA15",-0.0346698703430943,0.269036566201034,-0.0200141119025271,0.362277269746017,-0.024061584076649,0.565517895264681,-0.0202409632406039,0.509362518534193,-0.0297453383456033,0.351624005467309,-0.0388843823019327,0.121442728941515,-0.0463751367696395,0.0542969594939282,-0.034627822610778,-0.0479529734451587,-0.0182768303735294,0.0217127284458252,-0.025956025878841,0.0645601067395654,0.456076386986492,1,-0.0190891432467615,0.193138574259152,0.120809742991867,-0.0878368432064245,-0.0774865149152481,-0.105238726482929,0.154932467362798,0.124539194366159
"LACCESS_MULTIR15",0.820276349269929,0.00315151914026152,0.856249702377186,-0.0265310207936923,0.67209261433755,-0.113522072931883,0.720489105233127,-0.0137664741335498,0.839052414921065,0.0266486876703206,0.725135734985157,-0.0555233072035061,0.739339537565381,-0.0324542413862967,0.553873488033305,0.0454669515357898,0.889427172857959,0.125347858027006,0.747414362199355,0.259394497452807,0.315456244076089,-0.0190891432467615,1,0.171538017450696,0.0134779108079974,-0.0449339523704456,-0.064286281160903,-0.0744151077235104,-0.0326509279196566,-0.0436648843628964
"PCT_LACCESS_MULTIR15",0.0939133602252219,0.558166483738998,0.125871201257023,0.577837491440733,0.0283415226918717,0.063510452106082,0.107010202732763,0.470358374090828,0.101329431963553,0.590288263426994,0.0729598604243989,0.414660445230884,0.0770516426311339,0.448449369205496,0.0445369825719412,0.0264483851944539,0.152349104753312,0.804001027923013,0.0814018638593322,0.242331636969969,0.122002929132765,0.193138574259152,0.171538017450696,1,0.0907158442198389,0.0923718047466357,-0.118365553568679,-0.0975315748369439,0.0314770701116905,0.0292247761012444
"PCT_FREE_LUNCH15",-0.0647003306167536,-0.119773397413225,0.029910850590811,0.126963859132768,0.0405990972249249,0.376973461368848,0.05412603903213,0.332805592590434,-0.0593144089976747,-0.0937242914587847,-0.0670463703117821,-0.128304062967085,-0.106249900982763,-0.25529931430349,0.0784698135880885,0.407447901098271,0.0481366668162603,0.131279108418682,-0.0671557031976823,-0.13603554821764,0.087061788563917,0.120809742991867,0.0134779108079974,0.0907158442198389,1,-0.373365434350671,0.133695624735185,0.0854963298816526,0.807752044333824,0.845546655200898
"PCT_REDUCED_LUNCH15",-0.166233090598592,0.167799874103881,-0.157139563321225,0.120451329068085,-0.253947182205626,-0.218366571352769,-0.19334830280109,-0.105075734691898,-0.158342140759723,0.15292480429685,-0.168935019430167,0.24306999920302,-0.170541579320871,0.274999910645707,-0.169342594137823,-0.339822302610547,-0.0549828912826338,0.0500311994993271,-0.0679674067489611,-0.0784303459500971,-0.0665913461016619,-0.0878368432064245,-0.0449339523704456,0.0923718047466357,-0.373365434350671,1,-0.0182095305242225,0.06370421314616,-0.337119310750795,-0.307087391072004
"FOODINSEC_15_17",-0.0451513877090044,-0.0748674045088629,-0.0186676578863586,-0.0283722910967931,0.0149691699447737,0.060102011512816,0.00182906755941661,0.00173933899065924,-0.0437047832037095,-0.0665368607641739,-0.0476535967420165,-0.0662951120810744,-0.0416417918837114,-0.0602172405775931,0.0113048736320431,0.0624939752102447,-0.0333595434312395,-0.0558062958870827,-0.0954482061967599,-0.128588758674937,-0.0714853102084745,-0.0774865149152481,-0.064286281160903,-0.118365553568679,0.133695624735185,-0.0182095305242225,1,0.931141320300835,0.183084963920238,0.193169230127276
"VLFOODSEC_15_17",-0.0669759997946587,-0.0767784740161807,-0.0358155059432011,-0.0308865286917139,-0.0182647204798189,0.00682103640309579,-0.00878330013796914,-0.010353515056511,-0.0619311271480394,-0.0682395850579991,-0.0770109643157904,-0.0598950939579847,-0.0637412778295844,-0.0472117104246276,-0.00858416534008142,0.0166083653096248,-0.0425939015520869,-0.0300886769144056,-0.10709737760412,-0.146128884628458,-0.0802393871327905,-0.105238726482929,-0.0744151077235104,-0.0975315748369439,0.0854963298816526,0.06370421314616,0.931141320300835,1,0.140924343305473,0.150144137428507
"POVRATE15",-0.112652879001281,-0.0738644045882905,-0.00931787019018724,0.183203479968155,-0.000878128102208789,0.424127829328579,0.0165280924897934,0.366896052478899,-0.108928413043878,-0.0681535989606951,-0.114225174941518,-0.0807790138477332,-0.145888479151522,-0.200405416942767,0.0219725348005255,0.377907674675519,0.0116704575201782,0.0814423839328286,-0.106439515873528,-0.112885938457342,0.0682699591475911,0.154932467362798,-0.0326509279196566,0.0314770701116905,0.807752044333824,-0.337119310750795,0.183084963920238,0.140924343305473,1,0.936048809558044
"CHILDPOVRATE15",-0.127974524876867,-0.0732521751503257,-0.0232350613543384,0.184136888560904,-0.00644429235463386,0.433809160780154,0.0109640093893358,0.36619814665248,-0.124639325422665,-0.0731138128454061,-0.116598366401881,-0.0408025486075728,-0.163424185931299,-0.18934260946425,0.0260339890820677,0.371513447743051,0.00306333853684214,0.0811691289227574,-0.12299165340595,-0.154555267650487,0.0324925528836224,0.124539194366159,-0.0436648843628964,0.0292247761012444,0.845546655200898,-0.307087391072004,0.193169230127276,0.150144137428507,0.936048809558044,1
